Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
35,Andy Dalton (NO),149,236,63.1,"1,515",6.4,8,9,18,16,76,0,1,8,93.1,11.6,0.10%
36,Cam Newton (FA),69,126,54.8,684,5.4,4,5,10,47,230,5,1,8,91.3,11.4,9.10%
37,Tyrod Taylor (NYG),91,150,60.7,966,6.4,5,5,13,19,151,3,0,6,86.7,14.5,0.10%
38,Tyler Huntley (BAL),122,188,64.9,"1,081",5.8,3,4,18,47,294,2,3,7,86.7,12.4,0.20%
39,Jacoby Brissett (CLE),141,225,62.7,"1,283",5.7,5,4,19,19,70,1,3,11,76.4,6.9,1.60%
40,Trey Lance (SF),41,71,57.7,603,8.5,5,2,4,38,168,1,0,6,67,11.2,91.00%
41,Geno Smith (SEA),65,95,68.4,702,7.4,5,1,13,9,42,1,1,4,55.3,13.8,2.20%
42,Drew Lock (SEA),67,111,60.4,787,7.1,2,2,9,10,53,2,1,6,52.8,8.8,0.90%
43,Mike White (NYJ),88,132,66.7,953,7.2,5,8,4,5,-1,0,0,4,52,13,0.00%
44,Josh Johnson (DEN),57,85,67.1,638,7.5,5,2,3,9,28,0,0,4,48.4,12.1,0.00%
45,Colt McCoy (ARI),74,99,74.7,740,7.5,3,1,6,22,37,0,1,8,42.3,5.3,0.10%
46,Mike Glennon (FA),90,167,53.9,790,4.7,4,10,9,7,33,1,3,6,40.9,6.8,1.00%
47,Gardner Minshew II (PHI),41,60,68.3,439,7.3,4,1,5,9,21,0,0,3,34.6,11.5,0.30%
48,Tim Boyle (DET),61,94,64.9,526,5.6,3,6,0,2,13,0,0,4,30.4,7.6,0.00%
49,Case Keenum (BUF),47,72,65.3,462,6.4,3,1,5,12,22,0,1,5,29.6,5.9,0.10%
50,Cooper Rush (DAL),30,47,63.8,422,9,3,1,3,9,-8,0,1,4,25.1,6.3,0.00%
51,Jordan Love (GB),36,62,58.1,411,6.6,2,3,3,12,27,0,1,6,24.2,4,0.30%
52,Joe Flacco (NYJ),27,42,64.3,338,8,3,0,2,2,3,0,1,2,23.8,11.9,0.90%
53,Mason Rudolph (PIT),35,58,60.3,277,4.8,1,1,0,5,53,0,0,2,19.4,9.7,0.10%
54,PJ Walker (CAR),36,66,54.5,362,5.5,1,3,7,7,13,0,1,5,16.8,3.4,0.00%
55,Nick Foles (IND),24,35,68.6,250,7.1,1,0,4,4,8,0,0,1,16.8,16.8,0.10%
56,Marcus Mariota (ATL),1,2,50,4,2,0,0,0,13,87,1,0,7,14.9,2.1,6.40%
57,Jake Fromm (FA),27,60,45,210,3.5,1,3,6,8,65,0,1,3,13.9,4.6,1.00%
58,Brandon Allen (CIN),17,34,50,149,4.4,2,0,4,7,-1,0,0,5,13.8,2.8,0.10%
59,Sean Mannion (SEA),22,36,61.1,189,5.3,1,0,2,2,14,0,0,1,13,13,0.00%
60,Brian Hoyer (NE),9,11,81.8,227,20.6,1,0,0,11,-8,0,0,5,12.3,2.5,0.00%
61,Nick Mullens (MIN),20,30,66.7,147,4.9,1,0,0,0,0,0,0,1,9.9,9.9,0.00%
62,Mitch Trubisky (PIT),6,8,75,43,5.4,0,1,0,13,24,1,0,5,9.1,1.8,5.00%
63,Kyle Allen (HOU),12,19,63.2,120,6.3,1,0,2,2,11,0,1,2,7.9,4,0.10%
64,Garrett Gilbert (FA),20,31,64.5,194,6.3,0,0,2,0,0,0,0,1,7.8,7.8,0.00%
65,Ian Book (PHI),12,20,60,135,6.8,0,2,8,3,6,0,0,1,4,4,0.00%
66,Chad Henne (KC),11,16,68.8,82,5.1,0,0,0,8,0,0,0,4,3.3,0.8,0.10%
67,Chris Streveler (NYJ),6,9,66.7,36,4,0,0,2,3,6,0,0,2,2,1,0.00%
68,Blaine Gabbert (TB),7,11,63.6,67,6.1,0,0,1,9,-7,0,0,6,1.9,0.3,0.10%
69,C.J. Beathard (JAC),2,2,100,33,16.5,0,0,0,1,2,0,0,2,1.5,0.8,0.00%
70,Sam Ehlinger (IND),0,0,0,0,0,0,0,0,3,9,0,0,3,0.9,0.3,0.10%
71,Ryan Fitzpatrick (FA),3,6,50,13,2.2,0,0,1,1,2,0,0,1,0.7,0.7,0.00%
72,David Blough (MIN),0,0,0,0,0,0,0,1,1,6,0,0,1,0.6,0.6,0.00%
73,Kellen Mond (CLE),2,3,66.7,5,1.7,0,0,0,0,0,0,0,2,0.2,0.1,0.10%
74,Nathan Peterman (CHI),0,0,0,0,0,0,0,0,2,2,0,0,1,0.2,0.2,0.00%
75,Bryce Perkins (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
76,Jake Luton (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
77,Shane Buechele (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
78,Jacob Eason (CAR),2,5,40,25,5,0,1,0,0,0,0,0,1,0,0,0.00%
79,Brian Brohm (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
80,Desmond Ridder (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
81,Brett Ratliff (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
82,Brock Purdy (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
83,Kyle Trask (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
84,Skylar Thompson (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
85,E.J. Perry (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
86,Malik Willis (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70%
87,Anthony Brown (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
88,Bailey Zappe (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
89,Jarrett Guarantano (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
90,Chris Oladokun (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
91,Stone Smartt (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
92,Chase Garbers (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
93,Kenny Pickett (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.80%
94,Matt Corral (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
95,Sam Howell (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
96,John Lovett (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
97,Easton Stick (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
98,Ben Chappell (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
99,Adam Froman (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
100,Brett Smith (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
101,Matt Barkley (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
102,Ryan Griffin (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
103,Keith Null (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
104,Erik Ainge (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
105,Hunter Cantwell (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
106,Deshaun Watson (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.80%
107,Joshua Dobbs (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
108,Brett Rypien (DEN),0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
109,Trace McSorley (ARI),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.20%
110,Jake Browning (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
111,Jarrett Stidham (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
112,Will Grier (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
113,Danny Etling (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
114,Nate Sudfeld (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
115,Jeff Driskel (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
116,Kurt Benkert (FA),0,0,0,0,0,0,0,0,2,-1,0,0,1,-0.1,-0.1,0.00%
117,Chase Daniel (LAC),0,0,0,0,0,0,0,0,2,-2,0,0,1,-0.2,-0.2,0.10%
118,Davis Webb (NYG),0,0,0,0,0,0,0,0,2,-3,0,0,1,-0.3,-0.3,0.00%
119,Feleipe Franks (ATL),0,1,0,0,0,0,1,0,3,6,0,0,6,-0.4,-0.1,0.00%
120,Logan Woodside (TEN),0,0,0,0,0,0,0,0,6,-6,0,0,4,-0.6,-0.2,0.00%
121,John Wolford (LAR),1,4,25,5,1.3,0,1,1,2,-1,0,0,2,-0.9,-0.5,0.10%
122,Josh Rosen (CLE),2,11,18.2,19,1.7,0,2,0,0,0,0,0,3,-1.2,-0.4,0.00%
